Distance (mm)	Counts
0.0	0.0
2.0	4.0
4.0	0.0
6.0	1.0
8.0	2.0
10.0	0.0
12.0	1.0
14.0	1.0
16.0	3.0
18.0	2.0
20.0	4.0
22.0	0.0
24.0	2.0
26.0	2.0
28.0	2.0
30.0	5.0
32.0	8.0
34.0	8.0
36.0	9.0
38.0	11.0
40.0	12.0
42.0	17.0
44.0	17.0
46.0	15.0
48.0	18.0
50.0	24.0
52.0	24.0
54.0	31.0
56.0	37.0
58.0	30.0
60.0	24.0
62.0	33.0
64.0	34.0
66.0	23.0
68.0	18.0
70.0	21.0
72.0	21.0
74.0	16.0
76.0	22.0
78.0	17.0
80.0	13.0
82.0	7.0
84.0	9.0
86.0	8.0
88.0	6.0
90.0	4.0
92.0	3.0
94.0	5.0
96.0	2.0
98.0	3.0
100.0	3.0
102.0	4.0
104.0	3.0
106.0	1.0
108.0	6.0
110.0	3.0
112.0	2.0
114.0	1.0
116.0	3.0
118.0	1.0
120.0	4.0
