Distance (mm)	Counts
0.0	0.0
2.0	1.0
4.0	0.0
6.0	1.0
8.0	0.0
10.0	2.0
12.0	0.0
14.0	1.0
16.0	2.0
18.0	1.0
20.0	2.0
22.0	1.0
24.0	0.0
26.0	4.0
28.0	5.0
30.0	2.0
32.0	9.0
34.0	4.0
36.0	7.0
38.0	4.0
40.0	11.0
42.0	15.0
44.0	9.0
46.0	17.0
48.0	19.0
50.0	30.0
52.0	48.0
54.0	92.0
56.0	190.0
58.0	288.0
60.0	273.0
62.0	144.0
64.0	51.0
66.0	36.0
68.0	22.0
70.0	20.0
72.0	18.0
74.0	13.0
76.0	8.0
78.0	7.0
80.0	7.0
82.0	3.0
84.0	3.0
86.0	0.0
88.0	3.0
90.0	4.0
92.0	0.0
94.0	0.0
96.0	1.0
98.0	2.0
100.0	0.0
102.0	0.0
104.0	0.0
106.0	1.0
108.0	0.0
110.0	1.0
112.0	1.0
114.0	1.0
116.0	0.0
118.0	1.0
120.0	1.0
