Distance (mm)	Counts
0.0	5.0
0.2	6.0
0.4	4.0
0.6	10.0
0.8	5.0
1.0	5.0
1.2	8.0
1.4	4.0
1.6	12.0
1.8	9.0
2.0	10.0
2.2	10.0
2.4	7.0
2.6	11.0
2.8	6.0
3.0	5.0
3.2	13.0
3.4	11.0
3.6	7.0
3.8	12.0
4.0	15.0
4.2	12.0
4.4	12.0
4.6	17.0
4.8	19.0
5.0	20.0
5.2	15.0
5.4	21.0
5.6	23.0
5.8	36.0
6.0	22.0
6.2	42.0
6.4	45.0
6.6	39.0
6.8	62.0
7.0	77.0
7.2	109.0
7.4	123.0
7.6	152.0
7.8	150.0
8.0	206.0
8.2	219.0
8.4	265.0
8.6	286.0
8.8	298.0
9.0	322.0
9.2	342.0
9.4	375.0
9.6	397.0
9.8	426.0
10.0	472.0
10.2	479.0
10.4	458.0
10.6	517.0
10.8	482.0
11.0	490.0
11.2	531.0
11.4	538.0
11.6	520.0
11.8	545.0
12.0	508.0
12.2	477.0
12.4	487.0
12.6	469.0
12.8	438.0
13.0	447.0
13.2	381.0
13.4	390.0
13.6	330.0
13.8	322.0
14.0	347.0
14.2	246.0
14.4	246.0
14.6	218.0
14.8	189.0
15.0	149.0
15.2	113.0
15.4	97.0
15.6	78.0
15.8	66.0
16.0	51.0
16.2	41.0
16.4	25.0
16.6	27.0
16.8	38.0
17.0	17.0
17.2	19.0
17.4	15.0
17.6	10.0
17.8	16.0
18.0	21.0
18.2	17.0
18.4	14.0
18.6	12.0
18.8	12.0
19.0	12.0
19.2	14.0
19.4	12.0
19.6	8.0
19.8	7.0
20.0	7.0
20.2	6.0
20.4	5.0
20.6	5.0
20.8	7.0
21.0	14.0
21.2	6.0
21.4	2.0
21.6	4.0
21.8	7.0
22.0	5.0
22.2	6.0
22.4	6.0
22.6	4.0
22.8	2.0
23.0	4.0
23.2	6.0
23.4	2.0
23.6	4.0
23.8	3.0
24.0	6.0
