Distance (mm)	Counts
0.0	64.0
0.2	99.0
0.4	105.0
0.6	132.0
0.8	182.0
1.0	289.0
1.2	410.0
1.4	499.0
1.6	629.0
1.8	691.0
2.0	661.0
2.2	665.0
2.4	486.0
2.6	343.0
2.8	267.0
3.0	193.0
3.2	184.0
3.4	134.0
3.6	100.0
3.8	92.0
4.0	62.0
4.2	54.0
4.4	58.0
4.6	35.0
4.8	34.0
5.0	39.0
5.2	33.0
5.4	29.0
5.6	32.0
5.8	26.0
6.0	37.0
6.2	33.0
6.4	35.0
6.6	23.0
6.8	27.0
7.0	27.0
7.2	21.0
7.4	17.0
7.6	26.0
7.8	21.0
8.0	20.0
8.2	36.0
8.4	20.0
8.6	26.0
8.8	27.0
9.0	36.0
9.2	28.0
9.4	43.0
9.6	31.0
9.8	31.0
10.0	40.0
10.2	46.0
10.4	58.0
10.6	70.0
10.8	79.0
11.0	105.0
11.2	97.0
11.4	139.0
11.6	189.0
11.8	282.0
12.0	404.0
12.2	540.0
12.4	591.0
12.6	682.0
12.8	623.0
13.0	573.0
13.2	474.0
13.4	362.0
13.6	207.0
13.8	180.0
14.0	147.0
14.2	125.0
14.4	106.0
14.6	89.0
14.8	56.0
15.0	52.0
