Distance (mm)	Counts
0.0	20.0
0.2	29.0
0.4	17.0
0.6	30.0
0.8	21.0
1.0	27.0
1.2	40.0
1.4	24.0
1.6	25.0
1.8	32.0
2.0	40.0
2.2	36.0
2.4	47.0
2.6	48.0
2.8	62.0
3.0	51.0
3.2	65.0
3.4	90.0
3.6	63.0
3.8	100.0
4.0	125.0
4.2	107.0
4.4	142.0
4.6	180.0
4.8	216.0
5.0	323.0
5.2	433.0
5.4	519.0
5.6	742.0
5.8	860.0
6.0	867.0
6.2	922.0
6.4	956.0
6.6	940.0
6.8	978.0
7.0	947.0
7.2	940.0
7.4	918.0
7.6	824.0
7.8	709.0
8.0	543.0
8.2	438.0
8.4	301.0
8.6	215.0
8.8	208.0
9.0	184.0
9.2	127.0
9.4	106.0
9.6	102.0
9.8	87.0
10.0	74.0
10.2	67.0
10.4	54.0
10.6	53.0
10.8	55.0
11.0	47.0
11.2	55.0
11.4	47.0
11.6	36.0
11.8	42.0
12.0	31.0
12.2	27.0
12.4	26.0
12.6	28.0
12.8	25.0
13.0	26.0
13.2	18.0
13.4	18.0
13.6	19.0
13.8	15.0
14.0	20.0
14.2	12.0
14.4	13.0
14.6	25.0
14.8	16.0
15.0	18.0
