Distance (mm)	Counts
0.0	7.0
0.2	14.0
0.4	22.0
0.6	16.0
0.8	22.0
1.0	38.0
1.2	38.0
1.4	55.0
1.6	52.0
1.8	94.0
2.0	127.0
2.2	155.0
2.4	175.0
2.6	184.0
2.8	203.0
3.0	162.0
3.2	138.0
3.4	99.0
3.6	76.0
3.8	59.0
4.0	43.0
4.2	48.0
4.4	36.0
4.6	31.0
4.8	23.0
5.0	18.0
5.2	19.0
5.4	25.0
5.6	14.0
5.8	18.0
6.0	18.0
6.2	14.0
6.4	11.0
6.6	15.0
6.8	16.0
7.0	9.0
7.2	10.0
7.4	12.0
7.6	18.0
7.8	11.0
8.0	18.0
8.2	23.0
8.4	20.0
8.6	19.0
8.8	18.0
9.0	26.0
9.2	36.0
9.4	31.0
9.6	47.0
9.8	75.0
10.0	107.0
10.2	116.0
10.4	134.0
10.6	163.0
10.8	161.0
11.0	156.0
11.2	183.0
11.4	131.0
11.6	93.0
11.8	64.0
12.0	52.0
12.2	30.0
12.4	33.0
12.6	37.0
12.8	33.0
13.0	18.0
13.2	21.0
13.4	17.0
13.6	19.0
13.8	13.0
14.0	10.0
14.2	11.0
14.4	9.0
14.6	7.0
14.8	4.0
15.0	7.0
15.2	6.0
15.4	6.0
15.6	9.0
15.8	7.0
16.0	9.0
