Distance (mm)	Counts
0.0	4.0
0.2	2.0
0.4	0.0
0.6	3.0
0.8	5.0
1.0	2.0
1.2	3.0
1.4	6.0
1.6	2.0
1.8	11.0
2.0	7.0
2.2	17.0
2.4	18.0
2.6	22.0
2.8	65.0
3.0	68.0
3.2	75.0
3.4	67.0
3.6	73.0
3.8	48.0
4.0	24.0
4.2	17.0
4.4	7.0
4.6	9.0
4.8	4.0
5.0	5.0
5.2	6.0
5.4	3.0
5.6	3.0
5.8	1.0
6.0	5.0
6.2	3.0
6.4	1.0
6.6	4.0
6.8	4.0
7.0	7.0
7.2	11.0
7.4	11.0
7.6	19.0
7.8	16.0
8.0	37.0
8.2	61.0
8.4	67.0
8.6	85.0
8.8	69.0
9.0	60.0
9.2	22.0
9.4	16.0
9.6	4.0
9.8	4.0
10.0	3.0
10.2	2.0
10.4	5.0
10.6	3.0
10.8	3.0
11.0	2.0
11.2	3.0
11.4	3.0
11.6	5.0
11.8	1.0
12.0	3.0
12.2	2.0
12.4	2.0
12.6	2.0
12.8	3.0
13.0	2.0
13.2	4.0
13.4	2.0
13.6	0.0
13.8	1.0
14.0	0.0
14.2	1.0
14.4	0.0
14.6	4.0
14.8	1.0
15.0	2.0
15.2	1.0
15.4	2.0
15.6	0.0
15.8	4.0
16.0	2.0
