Distance (mm)	Counts
0.0	4.0
0.2	4.0
0.4	10.0
0.6	14.0
0.8	11.0
1.0	32.0
1.2	38.0
1.4	69.0
1.6	82.0
1.8	81.0
2.0	62.0
2.2	44.0
2.4	25.0
2.6	14.0
2.8	8.0
3.0	4.0
3.2	4.0
3.4	2.0
3.6	4.0
3.8	5.0
4.0	2.0
4.2	2.0
4.4	4.0
4.6	6.0
4.8	0.0
5.0	1.0
5.2	6.0
5.4	2.0
5.6	1.0
5.8	3.0
6.0	3.0
6.2	3.0
6.4	2.0
6.6	1.0
6.8	1.0
7.0	2.0
7.2	2.0
7.4	5.0
7.6	1.0
7.8	3.0
8.0	1.0
8.2	2.0
8.4	1.0
8.6	4.0
8.8	2.0
9.0	3.0
9.2	5.0
9.4	4.0
9.6	4.0
9.8	9.0
10.0	12.0
10.2	18.0
10.4	45.0
10.6	55.0
10.8	62.0
11.0	68.0
11.2	77.0
11.4	56.0
11.6	38.0
11.8	14.0
12.0	6.0
12.2	4.0
12.4	5.0
12.6	2.0
12.8	2.0
13.0	8.0
13.2	1.0
13.4	0.0
13.6	1.0
13.8	1.0
14.0	3.0
14.2	2.0
14.4	3.0
14.6	0.0
14.8	3.0
15.0	6.0
15.2	1.0
15.4	0.0
15.6	0.0
15.8	3.0
16.0	1.0
