Distance (mm)	Counts
0.0	12.0
0.2	10.0
0.4	9.0
0.6	13.0
0.8	12.0
1.0	12.0
1.2	14.0
1.4	19.0
1.6	11.0
1.8	10.0
2.0	12.0
2.2	5.0
2.4	15.0
2.6	16.0
2.8	17.0
3.0	17.0
3.2	24.0
3.4	27.0
3.6	22.0
3.8	26.0
4.0	23.0
4.2	32.0
4.4	28.0
4.6	46.0
4.8	57.0
5.0	48.0
5.2	54.0
5.4	62.0
5.6	70.0
5.8	82.0
6.0	95.0
6.2	108.0
6.4	138.0
6.6	161.0
6.8	209.0
7.0	182.0
7.2	185.0
7.4	192.0
7.6	195.0
7.8	197.0
8.0	160.0
8.2	102.0
8.4	103.0
8.6	81.0
8.8	69.0
9.0	60.0
9.2	52.0
9.4	52.0
9.6	39.0
9.8	40.0
10.0	48.0
10.2	34.0
10.4	29.0
10.6	34.0
10.8	31.0
11.0	28.0
11.2	16.0
11.4	28.0
11.6	25.0
11.8	21.0
12.0	19.0
12.2	20.0
12.4	11.0
12.6	8.0
12.8	18.0
13.0	13.0
13.2	15.0
13.4	12.0
13.6	12.0
13.8	15.0
14.0	9.0
14.2	20.0
14.4	10.0
14.6	4.0
14.8	11.0
15.0	11.0
15.2	11.0
15.4	9.0
15.6	8.0
15.8	9.0
16.0	12.0
