Distance (mm)	Counts
0.0	5.0
0.2	15.0
0.4	15.0
0.6	10.0
0.8	8.0
1.0	12.0
1.2	17.0
1.4	12.0
1.6	13.0
1.8	13.0
2.0	15.0
2.2	17.0
2.4	13.0
2.6	17.0
2.8	19.0
3.0	20.0
3.2	23.0
3.4	26.0
3.6	29.0
3.8	25.0
4.0	36.0
4.2	54.0
4.4	43.0
4.6	56.0
4.8	66.0
5.0	54.0
5.2	76.0
5.4	80.0
5.6	116.0
5.8	127.0
6.0	136.0
6.2	150.0
6.4	113.0
6.6	109.0
6.8	88.0
7.0	82.0
7.2	94.0
7.4	102.0
7.6	96.0
7.8	92.0
8.0	126.0
8.2	126.0
8.4	144.0
8.6	132.0
8.8	104.0
9.0	90.0
9.2	68.0
9.4	58.0
9.6	46.0
9.8	40.0
10.0	47.0
10.2	26.0
10.4	24.0
10.6	31.0
10.8	32.0
11.0	31.0
11.2	25.0
11.4	25.0
11.6	26.0
11.8	22.0
12.0	17.0
12.2	13.0
12.4	24.0
12.6	19.0
12.8	14.0
13.0	16.0
13.2	18.0
13.4	18.0
13.6	16.0
13.8	2.0
14.0	11.0
14.2	13.0
14.4	16.0
14.6	7.0
14.8	12.0
15.0	10.0
15.2	11.0
15.4	11.0
15.6	5.0
15.8	13.0
16.0	9.0
