Distance (mm)	Counts
0.0	19.0
0.2	20.0
0.4	27.0
0.6	43.0
0.8	38.0
1.0	43.0
1.2	58.0
1.4	72.0
1.6	94.0
1.8	116.0
2.0	127.0
2.2	84.0
2.4	62.0
2.6	59.0
2.8	42.0
3.0	45.0
3.2	47.0
3.4	44.0
3.6	23.0
3.8	30.0
4.0	22.0
4.2	30.0
4.4	24.0
4.6	19.0
4.8	9.0
5.0	21.0
5.2	19.0
5.4	12.0
5.6	16.0
5.8	22.0
6.0	8.0
6.2	18.0
6.4	16.0
6.6	10.0
6.8	10.0
7.0	14.0
7.2	12.0
7.4	14.0
7.6	11.0
7.8	8.0
8.0	20.0
8.2	15.0
8.4	19.0
8.6	20.0
8.8	9.0
9.0	20.0
9.2	19.0
9.4	20.0
9.6	25.0
9.8	31.0
10.0	31.0
10.2	34.0
10.4	44.0
10.6	36.0
10.8	48.0
11.0	68.0
11.2	84.0
11.4	131.0
11.6	128.0
11.8	107.0
12.0	95.0
12.2	49.0
12.4	47.0
12.6	41.0
12.8	32.0
13.0	40.0
13.2	33.0
13.4	23.0
13.6	36.0
13.8	29.0
14.0	23.0
14.2	12.0
14.4	14.0
14.6	13.0
14.8	16.0
15.0	19.0
15.2	13.0
15.4	8.0
15.6	9.0
15.8	6.0
16.0	5.0
