Distance (mm)	Counts
0.0	106.0
0.2	118.0
0.4	132.0
0.6	112.0
0.8	140.0
1.0	146.0
1.2	132.0
1.4	132.0
1.6	135.0
1.8	148.0
2.0	126.0
2.2	164.0
2.4	151.0
2.6	160.0
2.8	156.0
3.0	140.0
3.2	186.0
3.4	162.0
3.6	183.0
3.8	188.0
4.0	173.0
4.2	188.0
4.4	208.0
4.6	180.0
4.8	224.0
5.0	239.0
5.2	292.0
5.4	339.0
5.6	420.0
5.8	519.0
6.0	517.0
6.2	580.0
6.4	696.0
6.6	704.0
6.8	711.0
7.0	719.0
7.2	665.0
7.4	665.0
7.6	544.0
7.8	484.0
8.0	482.0
8.2	356.0
8.4	280.0
8.6	274.0
8.8	230.0
9.0	224.0
9.2	219.0
9.4	199.0
9.6	210.0
9.8	193.0
10.0	195.0
10.2	192.0
10.4	162.0
10.6	198.0
10.8	153.0
11.0	163.0
11.2	162.0
11.4	144.0
11.6	166.0
11.8	147.0
12.0	136.0
12.2	128.0
12.4	143.0
12.6	128.0
12.8	123.0
13.0	119.0
13.2	136.0
13.4	130.0
13.6	112.0
13.8	114.0
14.0	120.0
14.2	119.0
14.4	111.0
14.6	103.0
14.8	109.0
15.0	97.0
