Distance (mm)	Counts
0.0	99.0
0.2	112.0
0.4	115.0
0.6	110.0
0.8	129.0
1.0	153.0
1.2	192.0
1.4	217.0
1.6	249.0
1.8	335.0
2.0	369.0
2.2	410.0
2.4	386.0
2.6	380.0
2.8	345.0
3.0	266.0
3.2	248.0
3.4	180.0
3.6	154.0
3.8	139.0
4.0	117.0
4.2	121.0
4.4	120.0
4.6	132.0
4.8	114.0
5.0	115.0
5.2	106.0
5.4	127.0
5.6	104.0
5.8	111.0
6.0	95.0
6.2	104.0
6.4	108.0
6.6	127.0
6.8	115.0
7.0	110.0
7.2	118.0
7.4	120.0
7.6	102.0
7.8	110.0
8.0	124.0
8.2	124.0
8.4	138.0
8.6	112.0
8.8	120.0
9.0	121.0
9.2	123.0
9.4	114.0
9.6	118.0
9.8	122.0
10.0	105.0
10.2	116.0
10.4	108.0
10.6	118.0
10.8	111.0
11.0	106.0
11.2	156.0
11.4	156.0
11.6	157.0
11.8	175.0
12.0	261.0
12.2	288.0
12.4	337.0
12.6	415.0
12.8	450.0
13.0	390.0
13.2	420.0
13.4	365.0
13.6	330.0
13.8	277.0
14.0	203.0
14.2	147.0
14.4	139.0
14.6	117.0
14.8	102.0
15.0	126.0
