Distance (mm)	Counts
0.0	109.0
0.2	98.0
0.4	101.0
0.6	118.0
0.8	131.0
1.0	98.0
1.2	115.0
1.4	127.0
1.6	112.0
1.8	146.0
2.0	116.0
2.2	130.0
2.4	141.0
2.6	163.0
2.8	187.0
3.0	187.0
3.2	275.0
3.4	332.0
3.6	412.0
3.8	451.0
4.0	487.0
4.2	475.0
4.4	380.0
4.6	360.0
4.8	265.0
5.0	244.0
5.2	227.0
5.4	203.0
5.6	149.0
5.8	166.0
6.0	120.0
6.2	155.0
6.4	167.0
6.6	145.0
6.8	130.0
7.0	142.0
7.2	159.0
7.4	134.0
7.6	161.0
7.8	146.0
8.0	157.0
8.2	167.0
8.4	152.0
8.6	137.0
8.8	150.0
9.0	178.0
9.2	160.0
9.4	149.0
9.6	142.0
9.8	155.0
10.0	166.0
10.2	168.0
10.4	166.0
10.6	169.0
10.8	221.0
11.0	249.0
11.2	325.0
11.4	372.0
11.6	417.0
11.8	494.0
12.0	522.0
12.2	463.0
12.4	428.0
12.6	391.0
12.8	318.0
13.0	252.0
13.2	216.0
13.4	169.0
13.6	137.0
13.8	148.0
14.0	121.0
14.2	133.0
14.4	128.0
14.6	128.0
14.8	114.0
15.0	96.0
