Distance (mm)	Counts
0.0	12.0
0.2	10.0
0.4	13.0
0.6	9.0
0.8	9.0
1.0	12.0
1.2	14.0
1.4	17.0
1.6	12.0
1.8	11.0
2.0	20.0
2.2	33.0
2.4	27.0
2.6	40.0
2.8	37.0
3.0	70.0
3.2	111.0
3.4	190.0
3.6	252.0
3.8	332.0
4.0	434.0
4.2	537.0
4.4	623.0
4.6	682.0
4.8	704.0
5.0	760.0
5.2	756.0
5.4	779.0
5.6	681.0
5.8	652.0
6.0	569.0
6.2	497.0
6.4	347.0
6.6	263.0
6.8	177.0
7.0	80.0
7.2	43.0
7.4	42.0
7.6	32.0
7.8	27.0
8.0	19.0
8.2	15.0
8.4	17.0
8.6	13.0
8.8	9.0
9.0	15.0
9.2	12.0
9.4	18.0
9.6	11.0
9.8	14.0
10.0	3.0
10.2	12.0
10.4	11.0
10.6	8.0
10.8	3.0
11.0	9.0
11.2	3.0
11.4	10.0
11.6	13.0
11.8	9.0
12.0	6.0
12.2	9.0
12.4	7.0
12.6	10.0
12.8	2.0
13.0	7.0
13.2	7.0
13.4	6.0
13.6	4.0
13.8	4.0
14.0	7.0
14.2	9.0
14.4	4.0
14.6	8.0
14.8	8.0
15.0	5.0
