Distance (mm)	Counts
0.0	270.0
0.2	385.0
0.4	480.0
0.6	565.0
0.8	572.0
1.0	525.0
1.2	437.0
1.4	304.0
1.6	204.0
1.8	104.0
2.0	65.0
2.2	41.0
2.4	35.0
2.6	25.0
2.8	18.0
3.0	19.0
3.2	20.0
3.4	10.0
3.6	12.0
3.8	11.0
4.0	13.0
4.2	7.0
4.4	6.0
4.6	10.0
4.8	9.0
5.0	6.0
5.2	11.0
5.4	9.0
5.6	12.0
5.8	10.0
6.0	14.0
6.2	10.0
6.4	5.0
6.6	11.0
6.8	8.0
7.0	10.0
7.2	13.0
7.4	6.0
7.6	5.0
7.8	15.0
8.0	8.0
8.2	11.0
8.4	11.0
8.6	13.0
8.8	15.0
9.0	16.0
9.2	16.0
9.4	27.0
9.6	39.0
9.8	72.0
10.0	140.0
10.2	209.0
10.4	333.0
10.6	421.0
10.8	461.0
11.0	512.0
11.2	521.0
11.4	452.0
11.6	368.0
11.8	209.0
12.0	120.0
12.2	56.0
12.4	37.0
12.6	19.0
12.8	19.0
13.0	12.0
13.2	19.0
13.4	14.0
13.6	9.0
13.8	17.0
14.0	14.0
14.2	7.0
14.4	10.0
14.6	4.0
14.8	6.0
15.0	13.0
