Distance (mm)	Counts
0.0	11.0
0.2	8.0
0.4	8.0
0.6	2.0
0.8	9.0
1.0	6.0
1.2	6.0
1.4	13.0
1.6	6.0
1.8	13.0
2.0	8.0
2.2	18.0
2.4	20.0
2.6	14.0
2.8	22.0
3.0	23.0
3.2	21.0
3.4	17.0
3.6	36.0
3.8	68.0
4.0	133.0
4.2	188.0
4.4	278.0
4.6	374.0
4.8	443.0
5.0	524.0
5.2	543.0
5.4	518.0
5.6	510.0
5.8	381.0
6.0	291.0
6.2	207.0
6.4	119.0
6.6	89.0
6.8	71.0
7.0	61.0
7.2	76.0
7.4	104.0
7.6	165.0
7.8	274.0
8.0	368.0
8.2	485.0
8.4	577.0
8.6	612.0
8.8	628.0
9.0	541.0
9.2	396.0
9.4	324.0
9.6	173.0
9.8	75.0
10.0	56.0
10.2	36.0
10.4	29.0
10.6	20.0
10.8	17.0
11.0	8.0
11.2	10.0
11.4	9.0
11.6	14.0
11.8	12.0
12.0	15.0
12.2	13.0
12.4	12.0
12.6	6.0
12.8	11.0
13.0	8.0
13.2	5.0
13.4	9.0
13.6	9.0
13.8	9.0
14.0	5.0
14.2	7.0
14.4	7.0
14.6	3.0
14.8	5.0
15.0	4.0
