Distance (mm)	Counts
0.0	255.0
0.5	282.0
1.0	288.0
1.5	294.0
2.0	310.0
2.5	322.0
3.0	358.0
3.5	351.0
4.0	366.0
4.5	383.0
5.0	382.0
5.5	428.0
6.0	451.0
6.5	485.0
7.0	529.0
7.5	555.0
8.0	573.0
8.5	616.0
9.0	657.0
9.5	628.0
10.0	744.0
10.5	759.0
11.0	803.0
11.5	858.0
12.0	907.0
12.5	953.0
13.0	1005.0
13.5	1059.0
14.0	1198.0
14.5	1258.0
15.0	1411.0
15.5	1525.0
16.0	1665.0
16.5	1888.0
17.0	2031.0
17.5	2178.0
18.0	2331.0
18.5	2676.0
19.0	2952.0
19.5	3815.0
20.0	5097.0
20.5	6489.0
21.0	8217.0
21.5	9609.0
22.0	11422.0
22.5	13033.0
23.0	14074.0
23.5	14757.0
24.0	14599.0
24.5	13971.0
25.0	12741.0
25.5	11130.0
26.0	9378.0
26.5	7981.0
27.0	6011.0
27.5	4702.0
28.0	3617.0
28.5	3002.0
29.0	2666.0
29.5	2524.0
30.0	2382.0
30.5	2184.0
31.0	1964.0
31.5	1873.0
32.0	1664.0
32.5	1514.0
33.0	1356.0
33.5	1298.0
34.0	1183.0
34.5	1129.0
35.0	1004.0
35.5	956.0
36.0	869.0
36.5	839.0
37.0	765.0
37.5	776.0
38.0	747.0
38.5	641.0
39.0	629.0
39.5	651.0
40.0	589.0
40.5	528.0
41.0	522.0
41.5	480.0
42.0	437.0
42.5	415.0
43.0	399.0
43.5	373.0
44.0	379.0
44.5	349.0
45.0	351.0
45.5	297.0
46.0	329.0
46.5	278.0
47.0	282.0
47.5	259.0
48.0	237.0
48.5	248.0
49.0	264.0
49.5	241.0
50.0	221.0
