Distance (mm)	Counts
0.0	255.0
0.5	268.0
1.0	286.0
1.5	304.0
2.0	339.0
2.5	323.0
3.0	351.0
3.5	355.0
4.0	347.0
4.5	387.0
5.0	383.0
5.5	422.0
6.0	452.0
6.5	452.0
7.0	535.0
7.5	539.0
8.0	611.0
8.5	599.0
9.0	674.0
9.5	647.0
10.0	696.0
10.5	744.0
11.0	762.0
11.5	797.0
12.0	859.0
12.5	955.0
13.0	1055.0
13.5	1057.0
14.0	1201.0
14.5	1268.0
15.0	1428.0
15.5	1531.0
16.0	1683.0
16.5	1810.0
17.0	2013.0
17.5	2186.0
18.0	2396.0
18.5	2775.0
19.0	3361.0
19.5	4395.0
20.0	5442.0
20.5	6523.0
21.0	7970.0
21.5	9353.0
22.0	11025.0
22.5	12441.0
23.0	13174.0
23.5	13494.0
24.0	13563.0
24.5	13135.0
25.0	12612.0
25.5	10916.0
26.0	9371.0
26.5	8190.0
27.0	6416.0
27.5	5576.0
28.0	4584.0
28.5	3494.0
29.0	2825.0
29.5	2579.0
30.0	2394.0
30.5	2177.0
31.0	2013.0
31.5	1766.0
32.0	1599.0
32.5	1516.0
33.0	1502.0
33.5	1289.0
34.0	1165.0
34.5	1143.0
35.0	1049.0
35.5	934.0
36.0	940.0
36.5	854.0
37.0	836.0
37.5	768.0
38.0	708.0
38.5	665.0
39.0	660.0
39.5	633.0
40.0	587.0
40.5	558.0
41.0	498.0
41.5	458.0
42.0	446.0
42.5	454.0
43.0	415.0
43.5	408.0
44.0	394.0
44.5	371.0
45.0	335.0
45.5	307.0
46.0	299.0
46.5	318.0
47.0	298.0
47.5	254.0
48.0	245.0
48.5	230.0
49.0	227.0
49.5	208.0
50.0	233.0
