Distance (mm)	Counts
0.0	274.0
0.5	280.0
1.0	281.0
1.5	289.0
2.0	336.0
2.5	340.0
3.0	379.0
3.5	361.0
4.0	354.0
4.5	428.0
5.0	431.0
5.5	437.0
6.0	469.0
6.5	477.0
7.0	559.0
7.5	553.0
8.0	620.0
8.5	630.0
9.0	664.0
9.5	679.0
10.0	787.0
10.5	809.0
11.0	822.0
11.5	887.0
12.0	933.0
12.5	1040.0
13.0	1116.0
13.5	1209.0
14.0	1297.0
14.5	1371.0
15.0	1486.0
15.5	1663.0
16.0	1779.0
16.5	1914.0
17.0	2111.0
17.5	2276.0
18.0	2674.0
18.5	3527.0
19.0	4491.0
19.5	5376.0
20.0	6227.0
20.5	7310.0
21.0	8582.0
21.5	10039.0
22.0	11404.0
22.5	12362.0
23.0	12561.0
23.5	12438.0
24.0	12488.0
24.5	12253.0
25.0	11614.0
25.5	10366.0
26.0	8674.0
26.5	7565.0
27.0	6587.0
27.5	5453.0
28.0	4595.0
28.5	3699.0
29.0	2874.0
29.5	2515.0
30.0	2362.0
30.5	2098.0
31.0	2018.0
31.5	1771.0
32.0	1652.0
32.5	1568.0
33.0	1450.0
33.5	1271.0
34.0	1158.0
34.5	1128.0
35.0	1040.0
35.5	1010.0
36.0	879.0
36.5	842.0
37.0	743.0
37.5	775.0
38.0	716.0
38.5	684.0
39.0	645.0
39.5	645.0
40.0	572.0
40.5	547.0
41.0	541.0
41.5	515.0
42.0	444.0
42.5	398.0
43.0	403.0
43.5	418.0
44.0	336.0
44.5	343.0
45.0	343.0
45.5	288.0
46.0	297.0
46.5	300.0
47.0	300.0
47.5	239.0
48.0	239.0
48.5	257.0
49.0	243.0
49.5	207.0
50.0	207.0
