Distance (mm)	Counts
0.0	91.0
0.2	90.0
0.4	115.0
0.6	101.0
0.8	110.0
1.0	113.0
1.2	103.0
1.4	100.0
1.6	124.0
1.8	105.0
2.0	127.0
2.2	116.0
2.4	115.0
2.6	134.0
2.8	137.0
3.0	158.0
3.2	169.0
3.4	211.0
3.6	263.0
3.8	255.0
4.0	317.0
4.2	316.0
4.4	265.0
4.6	284.0
4.8	276.0
5.0	309.0
5.2	244.0
5.4	263.0
5.6	198.0
5.8	160.0
6.0	130.0
6.2	125.0
6.4	131.0
6.6	132.0
6.8	114.0
7.0	103.0
7.2	98.0
7.4	124.0
7.6	110.0
7.8	117.0
8.0	108.0
8.2	94.0
8.4	109.0
8.6	89.0
8.8	102.0
9.0	106.0
9.2	108.0
9.4	88.0
9.6	77.0
9.8	80.0
10.0	89.0
