Distance (mm)	Counts
0.0	2.0
2.0	2.0
4.0	3.0
6.0	4.0
8.0	3.0
10.0	0.0
12.0	3.0
14.0	3.0
16.0	5.0
18.0	4.0
20.0	14.0
22.0	9.0
24.0	14.0
26.0	15.0
28.0	20.0
30.0	29.0
32.0	42.0
34.0	32.0
36.0	49.0
38.0	58.0
40.0	68.0
42.0	85.0
44.0	129.0
46.0	159.0
48.0	320.0
50.0	594.0
52.0	228.0
54.0	147.0
56.0	132.0
58.0	101.0
60.0	66.0
62.0	58.0
64.0	45.0
66.0	37.0
68.0	23.0
70.0	30.0
72.0	22.0
74.0	17.0
76.0	19.0
78.0	19.0
80.0	6.0
82.0	11.0
84.0	5.0
86.0	8.0
88.0	4.0
90.0	5.0
92.0	2.0
94.0	3.0
96.0	6.0
98.0	4.0
100.0	2.0
